movie_id,title,overview,genre_ids,split
1210,Control,"Joy Division’s lead singer Ian Curtis from The story, of in 1973 to his suicide on the his schoolboy days first American tour in 1980 eve of the band's.",[18],test
1288,Shang-Chi and the Legend of the Ten Rings,he thought he left behind Shang-Chi must confront the past mysterious when he is drawn into the web of the organization Ten Rings.,"[28, 12, 14]",test
6147,Dry,"hasn’t rained for three years and the In Rome it and habits Through the lack of water is. overturning rules moves a chorus of city dying of thirst and prohibitions and, profiteers people young, and old marginalised, and successful victims. while each Their lives are linked in a, single design his or her deliverance seeks.","[18, 35, 878]",test
120,Shutter Island,"Teddy Daniels investigates the.World. War II soldier-turned-U S Marshal for the criminally disappearance of a patient from a hospital compromised, by troubling visions and insane but his efforts are doctor a mysterious.","[18, 53, 9648]",test
3105,Galaxy Quest,"the NSEA Protector, For four years the courageous crew of —  and Doctor Lazarus Commander, Peter Quincy Taggart, Lieutenant Tawny Madison — on a thrilling and often dangerous mission in set off Now ... twenty years later space until! their, series was cancelled, television transmissions aliens under attack have mistaken the Galaxy Quest beam ""up the"" crew of has-been for historical documents and script no director actors to. save the universe, With no, in the performances, and no clue the actors must turn lives of their.","[35, 878, 12]",test
4250,Spy,"CIA analyst volunteers to go undercover to infiltrate A desk-bound and prevent diabolical the world of a, deadly arms dealer disaster global.","[28, 35, 80]",test
350,Million Dollar Baby,"from his daughter trainer Frankie Despondent over a, painful estrangement his Dunn isn't prepared for boxer Maggie Fitzgerald to enter go. pro and to convince life But Maggie's determined to to help her Dunn and his cohort.",[18],test
6325,Spree,"figured Desperate for an online, following a rideshare driver has go viral and he will out a deadly plan to at nothing to get his five minutes of fame stop.","[35, 80, 27, 53]",test
1898,The Time Machine,and finds A Victorian Englishman travels to the far future hostile species that humanity has divided into two.,"[53, 12, 14, 878, 10749]",test
9290,Survivor,"Foreign Service Officer in London tries to prevent a A York but is forced terrorist attack set, to hit New the run when she is framed for to go on not commit crimes she did.","[28, 80, 9648, 53]",test
