movie_id,method,strength,original_overview,perturbed_overview
1210,shuffle,0.25,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","singer story of Joy Division’s lead The Ian Curtis, from his schoolboy days suicide 1973 to his in on the eve of 1980 band's first American tour in the."
1288,shuffle,0.25,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must past the confront he thought he left behind of he is drawn into the web when the mysterious Rings Ten organization.
1210,shuffle,0.5,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","Joy Division’s of from The lead singer Ian Curtis, story suicide on days his 1973 to his schoolboy in the of the first band's eve American tour in 1980."
1288,shuffle,0.5,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must behind the past confront thought he he left when he mysterious is into drawn web of the the Rings Ten organization.
1210,shuffle,1.0,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","Joy Division’s lead singer Ian Curtis from The story, of in 1973 to his suicide on the his schoolboy days first American tour in 1980 eve of the band's."
1288,shuffle,1.0,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,he thought he left behind Shang-Chi must confront the past mysterious when he is drawn into the web of the organization Ten Rings.
1210,mask,0.1,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","The [MASK] of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980."
1288,mask,0.1,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the [MASK] Ten Rings organization.
1210,mask,0.3,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","The [MASK] of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980."
1288,mask,0.3,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the [MASK] Ten Rings organization.
1210,mask,0.5,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","The [MASK] of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980."
1288,mask,0.5,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the [MASK] Ten Rings organization.
1210,truncate,0.25,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.",The story of Joy Division’s lead singer Ian
1288,truncate,0.25,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he
1210,truncate,0.5,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973"
1288,truncate,0.5,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he thought he left behind when he
1210,truncate,0.75,"The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of the band's first American tour in 1980.","The story of Joy Division’s lead singer Ian Curtis, from his schoolboy days in 1973 to his suicide on the eve of"
1288,truncate,0.75,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of
