movie_id,split
1,train
4,train
5,train
6,train
7,train
8,train
9,train
10,test
12,train
13,train
14,validation
16,validation
17,train
18,train
19,train
20,train
21,test
23,validation
24,train
25,train
26,validation
27,train
29,train
30,test
32,train
33,train
34,train
35,train
36,train
37,train
38,train
40,test
41,train
44,test
45,train
46,train
47,train
48,train
49,train
50,test
53,test
54,train
55,train
56,test
57,test
58,train
59,train
60,train
61,train
62,test
63,train
66,train
68,test
69,train
70,train
71,train
72,train
74,train
75,train
76,test
77,validation
78,train
79,validation
80,train
81,validation
82,train
84,train
86,train
87,validation
88,test
91,validation
92,test
93,test
94,train
95,train
96,train
99,train
101,train
102,train
103,train
104,validation
106,train
107,train
108,validation
109,train
110,test
111,train
113,train
114,train
116,validation
117,train
119,validation
120,test
122,train
123,train
126,train
127,train
132,test
133,train
136,train
138,train
139,train
140,train
141,test
142,train
143,train
144,test
145,test
146,train
147,train
148,test
149,validation
151,validation
152,train
153,train
154,train
155,validation
158,test
159,test
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,test
171,train
173,train
174,train
175,train
176,train
177,test
178,test
179,train
180,train
181,train
182,train
183,train
184,train
186,train
187,train
188,train
189,test
190,train
192,train
193,train
194,test
195,test
196,train
197,train
198,validation
199,train
200,validation
201,train
202,test
203,train
204,validation
206,train
207,validation
208,train
209,train
211,train
212,train
213,train
215,train
216,train
217,validation
218,train
219,train
220,train
221,train
222,test
223,train
224,train
225,validation
227,train
228,validation
229,validation
230,train
231,train
233,train
234,train
235,validation
236,train
239,train
240,train
241,train
242,train
244,validation
245,train
246,train
247,train
248,train
250,validation
251,train
252,train
253,train
255,train
256,test
257,train
259,test
260,validation
261,train
263,validation
265,train
266,train
267,validation
268,validation
269,test
270,train
271,train
272,train
274,train
275,train
276,test
277,train
278,test
279,train
280,train
281,train
282,train
283,validation
284,train
285,test
286,test
287,train
288,train
289,train
290,test
291,train
292,train
293,test
295,validation
296,validation
297,test
299,train
301,train
302,train
303,validation
304,test
305,train
306,train
307,test
308,train
309,train
310,validation
313,train
314,train
316,train
317,train
318,train
319,train
320,train
321,train
322,validation
323,train
325,train
326,train
327,train
328,train
329,validation
330,train
332,train
333,train
334,train
335,train
337,train
339,validation
340,train
341,test
342,train
343,train
344,train
345,train
346,validation
348,train
349,test
350,test
351,validation
352,train
353,test
354,test
355,validation
356,train
357,train
358,validation
359,test
360,train
361,train
362,train
363,train
364,train
365,test
367,train
368,train
369,train
371,test
372,train
373,train
376,train
378,train
379,train
380,train
382,test
383,train
384,train
386,train
387,train
388,train
389,test
391,train
392,test
393,train
394,train
395,train
396,train
397,train
398,train
400,train
401,train
402,test
403,validation
405,test
406,validation
409,validation
411,validation
412,train
413,train
414,test
415,validation
417,train
418,train
419,train
420,train
421,train
422,train
423,train
425,train
426,train
428,train
429,train
431,train
432,test
433,train
434,train
435,train
438,train
439,test
440,test
441,validation
442,train
443,train
444,train
445,validation
446,test
447,train
448,train
449,train
451,train
452,test
453,train
454,train
455,test
456,train
457,validation
458,test
459,test
460,train
461,validation
462,train
464,train
465,train
467,test
468,train
470,train
471,validation
473,train
474,validation
475,test
476,validation
477,train
478,train
479,train
480,test
481,test
482,train
483,train
484,validation
485,validation
486,train
487,train
488,train
489,validation
490,train
491,train
492,train
493,train
494,train
495,train
496,test
497,validation
498,train
501,train
502,train
503,test
505,train
506,validation
507,test
508,train
511,train
512,train
513,validation
514,train
515,train
516,train
517,train
518,train
520,train
521,test
522,train
523,train
524,train
526,train
527,validation
528,train
530,test
531,validation
532,test
533,train
535,train
536,train
537,test
538,train
539,validation
540,test
541,train
542,test
543,train
544,train
547,train
548,train
549,validation
550,train
551,train
552,train
553,test
554,train
555,test
556,validation
557,train
558,train
559,train
560,train
561,train
562,train
563,test
564,train
565,train
566,train
567,train
568,validation
569,train
571,train
572,train
573,validation
574,train
575,train
576,validation
580,train
581,train
582,train
583,test
584,test
585,train
588,validation
589,train
590,train
591,train
592,train
595,train
596,train
598,train
599,train
600,validation
601,train
602,train
603,test
604,test
605,train
606,test
609,validation
611,train
612,train
613,train
614,train
615,train
616,test
617,train
618,train
619,train
620,train
622,train
623,train
624,train
625,train
626,validation
627,train
628,train
629,train
630,validation
631,train
632,train
634,train
635,train
636,train
637,train
638,test
639,train
640,validation
641,validation
642,train
643,train
644,train
645,test
647,train
649,train
650,train
651,test
652,train
653,train
654,train
655,train
658,train
659,train
661,train
662,train
663,train
665,validation
668,validation
669,train
670,train
671,train
672,train
673,train
674,train
675,train
676,train
677,train
678,train
679,train
681,train
682,train
683,train
684,test
685,train
686,train
687,validation
688,train
689,test
690,train
691,train
692,train
693,train
694,train
697,train
698,train
699,train
700,train
701,train
703,train
704,test
705,validation
707,train
708,train
709,test
710,train
711,train
712,train
713,train
714,test
716,validation
717,test
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,test
727,train
728,test
729,validation
730,train
731,test
732,test
733,train
735,train
736,validation
738,train
741,train
742,test
743,train
744,train
745,train
747,train
748,train
749,train
750,train
751,train
753,train
754,train
755,test
756,train
757,train
758,validation
759,train
760,train
761,validation
762,train
763,train
764,test
765,train
766,train
767,validation
768,train
769,test
770,test
772,train
773,train
774,train
775,train
776,test
777,train
779,train
782,train
785,train
786,train
787,train
788,train
789,train
790,train
792,train
795,train
796,test
798,validation
799,train
800,train
801,train
802,train
803,train
804,train
805,validation
806,train
807,train
808,train
809,train
810,validation
811,train
813,test
814,train
815,train
816,train
817,train
818,validation
819,train
820,train
821,train
822,validation
823,train
825,validation
826,test
827,train
828,validation
829,train
832,train
833,validation
834,train
835,train
836,train
837,train
838,validation
839,train
840,validation
841,train
842,train
846,train
847,train
848,train
849,train
850,train
851,train
853,train
855,train
858,validation
859,validation
860,train
863,test
866,test
867,train
868,test
869,validation
871,train
872,validation
873,validation
875,validation
876,train
877,train
878,train
881,train
883,train
884,train
885,train
886,train
887,train
889,train
890,train
891,train
892,train
893,train
894,validation
895,train
896,train
898,train
899,test
