variant,source_file,rows,threshold,macro_f1,micro_f1,exact_match,hamming_loss,mean_predicted_labels,macro_f1_change_vs_original,micro_f1_change_vs_original
original,test_original.csv,1198,0.25,0.5476366321890084,0.624383744170553,0.07429048414023372,0.13072713782229642,3.6252086811352253,0.0,0.0
mask_10,test_mask_10.csv,1198,0.25,0.47932321674110756,0.5891984682424403,0.05008347245409015,0.144268224819143,3.6819699499165277,-0.06831341544790082,-0.035185275928112714
mask_30,test_mask_30.csv,1198,0.25,0.46590814379768486,0.5830141328754458,0.04757929883138564,0.14640140975700242,3.6803005008347247,-0.08172848839132352,-0.04136961129510719
mask_50,test_mask_50.csv,1198,0.25,0.4511168487130599,0.5737683265090476,0.049248747913188645,0.14964756074939714,3.6803005008347247,-0.09651978347594847,-0.050615417661505346
shuffle_100,test_shuffle_100.csv,1198,0.25,0.5353738141310233,0.623203831825439,0.07262103505843072,0.13132999443516974,3.634390651085142,-0.012262818057985125,-0.0011799123451139426
shuffle_25,test_shuffle_25.csv,1198,0.25,0.5376728526200615,0.625,0.07262103505843072,0.1304952698942682,3.624373956594324,-0.009963779568946896,0.0006162558294470211
shuffle_50,test_shuffle_50.csv,1198,0.25,0.5283029204772632,0.618452539218293,0.0709515859766277,0.133092190688184,3.639398998330551,-0.01933371171174514,-0.005931204952259961
truncate_25,test_truncate_25.csv,1198,0.25,0.4195075034713693,0.5256002314145213,0.0642737896494157,0.152105360786496,3.1318864774624373,-0.1281291287176391,-0.0987835127560317
truncate_50,test_truncate_50.csv,1198,0.25,0.4907079413014639,0.5791982057751612,0.06093489148580968,0.13921350398812837,3.315525876460768,-0.056928690887544486,-0.045185538395391744
truncate_75,test_truncate_75.csv,1198,0.25,0.5188059670921147,0.6057081022588936,0.0651085141903172,0.13517900204043776,3.531719532554257,-0.028830665096893693,-0.01867564191165938
